COMID,CAT_AET,NODATA,ACC_AET,ACC_NODATA,TOT_AET,TOT_NODATA,source
3917070,322,0,322,0,322,0,SENAY_AET_CONUS
3917072,318.45,0,318.45,0,318.45,0,SENAY_AET_CONUS
3917082,414.37,0,414.37,0,414.37,0,SENAY_AET_CONUS
3917084,451.14,0,451.14,0,451.14,0,SENAY_AET_CONUS
3917106,410.92,0,433.72,0,433.72,0,SENAY_AET_CONUS
3917114,434.88,0,434.88,0,434.88,0,SENAY_AET_CONUS
3917130,496.86,0,431.62,0,431.62,0,SENAY_AET_CONUS
3917136,385.17,0,385.17,0,385.17,0,SENAY_AET_CONUS
3917138,401.55,0,401.55,0,401.55,0,SENAY_AET_CONUS
3917154,370.67,0,361.41,0,361.41,0,SENAY_AET_CONUS
3917156,252.17,0,252.17,0,252.17,0,SENAY_AET_CONUS
3917158,6.5,0,6.5,0,6.5,0,SENAY_AET_CONUS
3917160,7.3,0,7.3,0,7.3,0,SENAY_AET_CONUS
3917162,462.14,0,434.26,0,434.26,0,SENAY_AET_CONUS
3917164,41.4,0,41.4,0,41.4,0,SENAY_AET_CONUS
3917172,211.07,0,211.07,0,211.07,0,SENAY_AET_CONUS
3917176,260.18,0,395.86,0,395.86,0,SENAY_AET_CONUS
3917178,325.96,0,415.45,0,415.45,0,SENAY_AET_CONUS
3917194,412.61,0,412.61,0,412.61,0,SENAY_AET_CONUS
3917198,7.69,0,324.4,0,324.4,0,SENAY_AET_CONUS
3917200,14.93,0,303.84,0,303.84,0,SENAY_AET_CONUS
3917212,139.22,0,139.22,0,139.22,0,SENAY_AET_CONUS
3917214,44.56,0,44.56,0,44.56,0,SENAY_AET_CONUS
3917218,38.42,0,120.29,0,120.29,0,SENAY_AET_CONUS
3917220,28.03,0,113.77,0,113.77,0,SENAY_AET_CONUS
3917228,25.55,0,25.55,0,25.55,0,SENAY_AET_CONUS
3917230,117.45,0,117.45,0,117.45,0,SENAY_AET_CONUS
3917244,200.91,0,188.89,0,231.13,0,SENAY_AET_CONUS
3917250,112.17,0,112.17,0,112.17,0,SENAY_AET_CONUS
3917256,80.09,0,161.33,0,161.33,0,SENAY_AET_CONUS
3917268,201.87,0,162.99,0,162.99,0,SENAY_AET_CONUS
3917272,55.86,0,195.19,0,195.19,0,SENAY_AET_CONUS
3917274,149.74,0,149.74,0,149.74,0,SENAY_AET_CONUS
3917276,105.52,0,254.49,0,254.49,0,SENAY_AET_CONUS
3917278,34.02,0,212.92,0,212.92,0,SENAY_AET_CONUS
3917280,230.13,0,193.4,0,193.4,0,SENAY_AET_CONUS
3917282,105.97,0,197.43,0,197.43,0,SENAY_AET_CONUS
3917284,118.38,0,190.15,0,190.15,0,SENAY_AET_CONUS
3917286,229.31,0,229.31,0,229.31,0,SENAY_AET_CONUS
3917912,407.92,0,426.17,0,426.17,0,SENAY_AET_CONUS
3917914,377.14,0,378.54,0,378.54,0,SENAY_AET_CONUS
3917916,472.43,0,415.51,0,415.51,0,SENAY_AET_CONUS
3917918,106.45,0,347,0,347,0,SENAY_AET_CONUS
3917920,6.14,0,6.84,0,6.84,0,SENAY_AET_CONUS
3917922,7.02,0,7.02,0,7.02,0,SENAY_AET_CONUS
3917946,157,0,188.02,0,229.81,0,SENAY_AET_CONUS
3917948,169.98,0,301.32,0,301.32,0,SENAY_AET_CONUS
3917950,224.3,0,188.68,0,231.52,0,SENAY_AET_CONUS
3917956,262.73,0,262.73,0,262.73,0,SENAY_AET_CONUS
3917958,289.16,0,289.16,0,289.16,0,SENAY_AET_CONUS
3917960,323.95,0,323.95,0,323.95,0,SENAY_AET_CONUS
948010089,10.71,0,7.35,0,7.35,0,SENAY_AET_CONUS
