model input,variable description,streamcat source var,source var description,nhdv2_attribute_type,accumulation operation,data source
comid,Unique segment identifier used in NHDPlus V2.,comid,,nhd,NA,"Horizon Systems, 2004"
comid_wy,,,,,avg of catchment values,
wa_yr,,,,,avg of catchment values,
ppt_jan_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_feb_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_mar_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_apr_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_may_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_jun_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_jul_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_aug_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_sep_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_oct_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_nov_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_dec_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_jan_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_feb_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_mar_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_apr_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_may_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_jun_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_jul_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_aug_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_sep_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_jan_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_feb_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_mar_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_apr_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_may_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_jun_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_jul_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_aug_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_sep_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_oct_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_nov_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_dec_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_jan_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_feb_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_mar_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_apr_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_may_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_jun_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_jul_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_aug_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
tav_sep_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
run_jan_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_feb_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_mar_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_apr_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_may_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_jun_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_jul_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_aug_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_sep_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_oct_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_nov_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_dec_wy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_jan_pwy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_feb_pwy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_mar_pwy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_apr_pwy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_may_pwy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_jun_pwy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_jul_pwy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_aug_pwy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
run_sep_pwy,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)",,,climate,avg of catchment values,
ppt_ann_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_fall_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_wint_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_sprg_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_summ_wy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_ann_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_wint_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_sprg_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_summ_pwy,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_sum1,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_sum2,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_sum3,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
ppt_sum4,PRISM derived,,PRISM Monthly Avg (Water Year Oct to Sep),climate,avg of catchment values,
run_ann_wy,Wollock water balance model,,,climate,avg of catchment values,
run_fall_wy,Wollock water balance model,,,climate,avg of catchment values,
run_wint_wy,Wollock water balance model,,,climate,avg of catchment values,
run_sprg_wy,Wollock water balance model,,,climate,avg of catchment values,
run_summ_wy,Wollock water balance model,,,climate,avg of catchment values,
run_ann_pwy,Wollock water balance model,,,climate,avg of catchment values,
run_wint_pwy,Wollock water balance model,,,climate,avg of catchment values,
run_sprg_pwy,Wollock water balance model,,,climate,avg of catchment values,
run_summ_pwy,Wollock water balance model,,,climate,avg of catchment values,
run_sum1,Wollock water balance model,,,climate,avg of catchment values,
